1,Cruze 1.8,4,4,5148,2,1,1,30000
2,Cruze 1.8 / Orlando,4,3,6475,3,1,1,35000
3,Captiva,4,4,2174,4,1,1,30000
4,Captiva Mecanica con tubo,4,3,4415,3,1,1,47000
5,Captiva Mecanica sin tubo,4,3,2921,3,1,1,42000
6,Captiva Automatica sin tubo,4,3,4820,3,1,1,43000
7,Captiva Automatica con tubo,4,3,4531,4,1,1,42000
8,Esteem / Sedan automovil 96-2000,4,1,1482,3,1,1,24000
9,Esteem / Sedan automovil 96-2000,4,2,1483,3,1,1,23000
10,Sail,4,4,2372,6,1,1,30000
11,Sail Tubo,4,3,2373,6,1,1,30000
12,Captiva 2019 lado tubo automatica,4,3,6948,3,1,1,48000
13,Cabstar - TK55 (Boquilla de llenado),24,1,2786,3,2,1,40000
14,Cabstar - TK55,24,2,2838,2,2,1,26000
15,D21 - Pathfinder 87-95 (angosto orejas),24,1,1430,5,2,1,23000
16,D21 - Pathfinder 87-95 (ancho orejas),24,1,948,2,2,1,23000
17,D22 3.0 - Frontier 3.0 Diesel ancho (5.7cm),24,1,1441,4,2,1,29000
18,D22 3.0 - Frontier 3.0 / Pathfinder 97-04 (4.7cm),24,1,1435,5,2,1,27000
19,D22 2.5 - Frontier 2.5 Diesel Ancho 4.6 cm,24,1,1444,10,2,1,31000
20,D22 3.0 - Frontier 3.0 - NP300 (angosto 3.7cm) gasolina,24,1,4475,5,2,1,27000
21,Sentra B14 - B13 angosto 3.5cm (G.L.P.),24,2,2182,4,2,1,23000
22,Sentra B13 ancho (Boquilla lado conductor),24,1,2224,2,2,1,32000
23,Sentra B13 - B14 ancho (Gollete angosto),24,2,1432,4,2,1,28000
24,Sentra B13 angosto (Gollete lado conductor),24,1,1433,3,2,1,27000
25,Sentra B14 angosto (gollete junto a boquilla lado pasajero),24,1,1431,2,2,1,25000
26,Sentra B14 ancho (gollete delgado) L.P.,24,1,2994,3,2,1,30000
27,Sentra B16 07-12,24,1,2995,2,2,1,25000
28,X-Trail Diesel ancho (g. ancho extremo L.P.),24,1,1439,3,2,1,30000
29,X-Trail Gasolina ancho (manguera ancho centro Lado C.),24,1,2387,4,2,1,31000
30,X-Trail Gasolina angosto (manguera ancho centro Lado C.),24,1,1442,4,2,1,31000
31,X-Trail Gasolina angosto 2016-2018 (Boquilla de llenado alta),24,1,4793,2,2,1,42000
32,X-Trail Tapa codo angosto codo (corto),24,1,2953,3,2,1,37000
33,X-Trail ancho (manguera ancha extremo) lado conductor,24,1,1434,2,2,1,32000
34,D22 2.5 / Frontier 2.5 Diesel Angosto (3.5 x 71.3cm) (gollete lado izquierdo) (boquilla lado derecho),24,1,7277,5,2,1,28000
35,Allegro largo 71.5cm / Ford laser,21,1,1396,10,3,1,22000
36,Allegro largo 71.5cm / Ford laser,21,2,1397,5,3,1,28000
37,Allegro corto 71.5cm / Ford laser,21,1,1398,10,3,1,30000
38,Allegro corto 71.5cm / Ford laser,21,2,4474,5,3,1,32000
39,2 (largo 58 x 4.6cm),21,1,1419,10,3,1,25000
40,2 Mecanico (largo 58 x 4.6cm),21,2,1420,4,3,1,24000
41,2 Sutomatico (largo 58 x 4.6cm),21,2,1421,2,3,1,25600
42,6 Mecanico sin tubo,21,1,1415,2,3,1,31000
43,6 Mecanico,21,2,1416,4,3,1,36000
44,6 Automatico con tubo,21,1,1401,2,3,1,34000
45,6 Automatico,21,2,1402,2,3,1,39500
46,B2200 largo 65.8cm,21,1,1791,4,3,1,31000
47,B2200 largo 65.8cm,21,2,1812,3,3,1,31000
48,B2600 / BT50 / B2200 / Ranger corto 64.7cm,21,1,1403,5,3,1,28000
49,B2600 / BT50 / B2200 / Ranger corto 64.7cm,21,2,1404,4,3,1,35000
50,BT50 Diesel / B2600 ancho largo 67 x 5cm,21,1,2166,7,3,1,32000
51,BT50 Diesel / B2600 ancho largo 67 x 5cm,21,2,4791,4,3,1,29000
